Timestamp,EAR,PERCLOS,Alert_Status
2026-04-30 12:50:17,0.25,35.05,DROWSY
2026-04-30 12:50:17,0.21,35.17,DROWSY
2026-04-30 12:50:17,0.21,35.28,DROWSY
2026-04-30 12:50:17,0.24,35.40,DROWSY
2026-04-30 12:50:17,0.13,35.51,DROWSY
2026-04-30 12:50:17,0.15,35.63,DROWSY
2026-04-30 12:50:17,0.20,35.74,DROWSY
2026-04-30 12:50:17,0.21,35.85,DROWSY
2026-04-30 12:50:17,0.19,35.96,DROWSY
2026-04-30 12:50:17,0.21,36.08,DROWSY
2026-04-30 12:50:17,0.23,36.19,DROWSY
2026-04-30 12:50:17,0.25,36.13,Normal
2026-04-30 12:50:18,0.21,36.24,Normal
2026-04-30 12:50:18,0.28,36.17,Normal
2026-04-30 12:50:18,0.23,36.28,Normal
2026-04-30 12:50:18,0.20,36.40,Normal
2026-04-30 12:50:18,0.22,36.51,Normal
2026-04-30 12:50:18,0.26,36.44,Normal
2026-04-30 12:50:18,0.24,36.55,Normal
2026-04-30 12:50:18,0.18,36.66,Normal
2026-04-30 12:50:18,0.21,36.77,Normal
2026-04-30 12:50:18,0.24,36.88,Normal
2026-04-30 12:50:18,0.24,36.99,Normal
2026-04-30 12:50:18,0.26,36.92,Normal
2026-04-30 12:50:18,0.24,37.03,Normal
2026-04-30 12:50:18,0.26,36.97,Normal
2026-04-30 12:50:19,0.27,36.90,Normal
2026-04-30 12:50:19,0.24,37.01,Normal
2026-04-30 12:50:19,0.30,36.95,Normal
2026-04-30 12:50:19,0.26,36.89,Normal
2026-04-30 12:50:19,0.21,36.99,Normal
2026-04-30 12:50:19,0.28,36.93,Normal
2026-04-30 12:50:19,0.23,37.04,Normal
2026-04-30 12:50:19,0.27,36.97,Normal
2026-04-30 12:50:19,0.27,36.91,Normal
2026-04-30 12:50:19,0.28,36.85,Normal
2026-04-30 12:50:19,0.25,36.79,Normal
2026-04-30 12:50:19,0.28,36.73,Normal
2026-04-30 12:50:19,0.25,36.67,Normal
2026-04-30 12:50:19,0.30,36.61,Normal
2026-04-30 12:50:19,0.25,36.54,Normal
2026-04-30 12:50:20,0.21,36.65,Normal
2026-04-30 12:50:20,0.19,36.75,Normal
2026-04-30 12:50:20,0.22,36.86,Normal
2026-04-30 12:50:20,0.22,36.96,Normal
2026-04-30 12:50:20,0.25,36.90,Normal
2026-04-30 12:50:20,0.24,37.01,Normal
2026-04-30 12:50:20,0.23,37.11,Normal
2026-04-30 12:50:20,0.23,37.21,Normal
2026-04-30 12:50:20,0.23,37.32,Normal
2026-04-30 12:50:20,0.26,37.25,Normal
2026-04-30 12:50:20,0.26,37.19,Normal
2026-04-30 12:50:20,0.24,37.30,Normal
2026-04-30 12:50:20,0.21,37.40,Normal
2026-04-30 12:50:20,0.26,37.34,Normal
2026-04-30 12:50:20,0.24,37.44,Normal
2026-04-30 12:50:20,0.23,37.54,Normal
2026-04-30 12:50:21,0.24,37.64,Normal
2026-04-30 12:50:21,0.24,37.74,Normal
2026-04-30 12:50:21,0.31,37.68,Normal
2026-04-30 12:50:21,0.29,37.62,Normal
2026-04-30 12:50:21,0.30,37.56,Normal
2026-04-30 12:50:21,0.38,37.50,Normal
2026-04-30 12:50:21,0.29,37.44,Normal
2026-04-30 12:50:21,0.31,37.38,Normal
2026-04-30 12:50:21,0.26,37.32,Normal
2026-04-30 12:50:21,0.27,37.26,Normal
2026-04-30 12:50:21,0.31,37.20,Normal
2026-04-30 12:50:21,0.29,37.14,Normal
2026-04-30 12:50:21,0.27,37.08,Normal
2026-04-30 12:50:21,0.28,37.03,Normal
2026-04-30 12:50:21,0.26,36.97,Normal
2026-04-30 12:50:21,0.25,36.91,Normal
2026-04-30 12:50:21,0.30,36.85,Normal
2026-04-30 12:50:22,0.26,36.79,Normal
2026-04-30 12:50:22,0.25,36.73,Normal
2026-04-30 12:50:22,0.24,36.83,Normal
2026-04-30 12:50:22,0.23,36.93,Normal
2026-04-30 12:50:22,0.26,36.88,Normal
2026-04-30 12:50:22,0.22,36.97,Normal
2026-04-30 12:50:22,0.25,36.92,Normal
2026-04-30 12:50:22,0.26,36.86,Normal
2026-04-30 12:50:22,0.24,36.96,Normal
2026-04-30 12:50:22,0.27,36.90,Normal
2026-04-30 12:50:22,0.26,36.84,Normal
2026-04-30 12:50:22,0.26,36.67,Normal
2026-04-30 12:50:22,0.28,36.62,Normal
2026-04-30 12:50:22,0.27,36.56,Normal
2026-04-30 12:50:23,0.29,36.50,Normal
2026-04-30 12:50:23,0.30,36.45,Normal
2026-04-30 12:50:23,0.27,36.39,Normal
2026-04-30 12:50:23,0.21,36.49,Normal
2026-04-30 12:50:23,0.25,36.59,Normal
2026-04-30 12:50:23,0.26,36.53,Normal
2026-04-30 12:50:23,0.26,36.47,Normal
2026-04-30 12:50:23,0.29,36.42,Normal
2026-04-30 12:50:23,0.25,36.36,Normal
2026-04-30 12:50:23,0.22,36.46,Normal
2026-04-30 12:50:23,0.27,36.40,Normal
2026-04-30 12:50:23,0.30,36.35,Normal
2026-04-30 12:50:23,0.27,36.24,Normal
2026-04-30 12:50:23,0.27,36.19,Normal
2026-04-30 12:50:24,0.23,35.96,Normal
2026-04-30 12:50:24,0.26,35.91,Normal
2026-04-30 12:50:24,0.26,35.85,Normal
2026-04-30 12:50:24,0.26,35.80,Normal
2026-04-30 12:50:24,0.30,35.75,Normal
2026-04-30 12:50:24,0.25,35.69,Normal
2026-04-30 12:50:24,0.24,35.79,Normal
2026-04-30 12:50:24,0.29,35.74,Normal
2026-04-30 12:50:25,0.25,35.68,Normal
2026-04-30 12:50:25,0.28,35.63,Normal
2026-04-30 12:50:25,0.28,35.58,Normal
2026-04-30 12:50:25,0.25,35.53,Normal
2026-04-30 12:50:25,0.27,35.47,Normal
2026-04-30 12:50:25,0.21,35.57,Normal
2026-04-30 12:50:25,0.28,35.52,Normal
2026-04-30 12:50:25,0.28,35.47,Normal
2026-04-30 12:50:25,0.26,35.41,Normal
2026-04-30 12:50:25,0.27,35.36,Normal
2026-04-30 12:50:25,0.24,35.46,Normal
2026-04-30 12:50:25,0.27,35.40,Normal
2026-04-30 12:50:25,0.26,35.35,Normal
2026-04-30 12:50:25,0.25,35.30,Normal
2026-04-30 12:50:25,0.32,35.25,Normal
2026-04-30 12:50:25,0.27,35.20,Normal
2026-04-30 12:50:26,0.25,35.15,Normal
2026-04-30 12:50:26,0.25,35.24,Normal
2026-04-30 12:50:30,0.33,31.34,Normal
2026-04-30 12:50:30,0.26,31.30,Normal
2026-04-30 12:50:30,0.26,31.22,Normal
2026-04-30 12:50:31,0.26,30.94,Normal
2026-04-30 12:50:31,0.20,30.72,Normal
